Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
196812,  -1.04,  -4.42,  -3.52,  -2.56,  -5.37,  -6.64,  -4.10,  -1.03,  -2.88,  -3.75,-0.0382
196901,  -1.20,  -1.87,  -0.35,  -1.12,  -4.68,   1.20,  -1.04,  -0.23,   2.41,   0.88,-0.0120
196902,  -6.59,  -3.37,  -5.84,  -4.60,  -3.58,  -3.32,  -4.09,  -5.14,  -5.20,  -8.35,-0.0582
196903,   0.76,   5.00,   2.53,   7.09,   5.46,  -0.42,   5.14,   3.34,  -1.29,   0.75,0.0259
196904,   1.03,   1.30,   1.31,  -0.35,   3.91,   7.73,   3.71,   4.98,   1.34,   1.81,0.0152
196905,   1.19,  -0.02,  -0.87,   3.69,  -1.70,   1.06,   0.57,   1.66,   0.02,  -1.11,0.0002
196906,  -7.33,  -5.97,  -6.80,  -9.92,  -0.13,  -3.98,  -5.40,  -5.03,  -5.74, -10.67,-0.0725
196907,  -6.93,  -7.00,  -5.58,  -9.63,  -5.42,  -4.49,  -8.53,  -2.73,  -2.98,  -9.13,-0.0705
196908,   5.00,   3.01,   4.12,   6.58,   7.03,   1.66,   8.17,   9.20,  -1.29,   9.02,0.0465
196909,   0.26,  -0.39,  -2.10,  -9.63,   0.21,  -4.00,  -0.62,   2.17,  -4.14,  -0.74,-0.0288
196910,   8.35,   3.87,   6.60,  -1.06,   5.80,   3.50,   6.70,   8.97,   8.28,   7.93,0.0496
196911,  -2.40,  -4.43,  -3.57,  -4.51,  -1.79,   1.18,  -4.25,   0.34,  -5.26,  -5.54,-0.0374
196912,  -1.96,  -3.43,  -1.28,  -3.01,  -0.75,  -5.51,  -3.03,   4.30,  -0.65,  -3.75,-0.0261
197001,  -4.30,  -8.24,  -7.21, -11.44,  -9.07,  -2.56,  -5.91,  -7.11,  -4.23,  -8.81,-0.0793
197002,   4.72,   5.86,   4.81,   5.38,   2.95,   7.95,   5.29,   5.57,   8.36,   9.40,0.0505
197003,  -0.86,   4.98,  -0.50,  -0.43,  -2.58,   2.29,  -1.70,  -5.10,   2.91,  -1.91,-0.0104
197004, -10.20,  -8.77,  -9.04,  -9.15, -14.34,  -8.79, -11.25, -10.12,  -8.06, -13.70,-0.1103
197005,  -7.51,  -6.23,  -7.75,   2.63,  -9.54,  -3.74,  -9.63,  -7.74,  -5.36,  -8.31,-0.0696
197006,  -1.57,  -3.80,  -4.72,  -2.46, -11.76,  -8.48,  -4.01,  -0.48,  -4.70,  -6.82,-0.0569
197007,   6.69,  10.32,   4.95,  12.77,   2.41,  10.27,  10.59,   2.14,   8.71,   8.02,0.0690
197008,   1.50,   8.29,   4.54,   6.53,   7.99,   2.50,   5.22,   1.80,   4.67,   5.03,0.0447
197009,   5.63,   2.81,   4.04,   3.27,  10.17,  -0.93,   7.96,   8.01,  -0.54,   7.61,0.0421
197010,   0.65,  -2.06,  -3.14,   2.97,  -3.54,  -3.75,  -1.63,   0.31,  -0.80,  -5.89,-0.0228
197011,   4.80,   6.84,   3.93,   4.89,   4.08,   6.11,   6.84,   2.97,   9.39,   3.74,0.0458
197012,   7.45,   6.27,   8.03,   2.28,   4.43,   6.85,   5.35,   5.34,   7.13,   8.37,0.0565
197101,   4.92,   3.76,   6.02,   0.39,   5.44,   9.75,   8.26,   4.92,   2.95,   7.79,0.0482
197102,   3.79,   2.24,   1.22,   4.73,   2.78,  -5.30,   3.68,   1.31,  -2.58,   2.22,0.0136
197103,   4.47,   3.48,   4.23,   2.71,   8.08,   0.73,   6.75,   3.68,   2.39,   5.94,0.0418
197104,   2.21,   8.56,   4.44,   4.34,   2.37,   0.82,   4.99,   4.23,  -3.54,   4.34,0.0305
197105,  -3.05,  -4.35,  -2.21,  -4.68,  -6.11,  -5.21,  -1.90,  -2.13,  -3.69,  -4.53,-0.0393
197106,  -0.12,  -0.52,   0.44,   1.04,  -2.17,   1.05,   0.44,   2.05,   4.29,  -1.32,-0.0006
197107,  -2.13,  -5.28,  -5.03,  -2.15,  -8.60,  -3.69,  -3.56,  -2.17,  -2.15,  -3.86,-0.0443
197108,   3.13,  10.53,   6.49,  -1.16,   5.70,  -0.24,   6.21,   3.15,  -2.33,   6.98,0.0378
