Month,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,US
196912,"-1,96","-3,43","-1,28","-3,01","-0,75","-5,51","-3,03","4,3","-0,65","-3,75","-2,61"
197001,"-4,3","-8,24","-7,21","-11,44","-9,07","-2,56","-5,91","-7,11","-4,23","-8,81","-7,99"
197002,"4,72","5,86","4,81","5,38","2,95","7,95","5,29","5,57","8,36","9,4","5,16"
197003,"-0,86","4,98","-0,5","-0,43","-2,58","2,29","-1,7","-5,1","2,91","-1,91","-0,89"
197004,"-10,2","-8,77","-9,04","-9,15","-14,34","-8,79","-11,25","-10,12","-8,06","-13,7","-10,8"
197005,"-7,51","-6,23","-7,75","2,63","-9,54","-3,74","-9,63","-7,74","-5,36","-8,31","-6,77"
197006,"-1,57","-3,8","-4,72","-2,46","-11,76","-8,48","-4,01","-0,48","-4,7","-6,82","-5,69"
197007,"6,69","10,32","4,95","12,77","2,41","10,27","10,59","2,14","8,71","8,02","6,93"
197008,"1,5","8,29","4,54","6,53","7,99","2,5","5,22","1,8","4,67","5,03","4,53"
197009,"5,63","2,81","4,04","3,27","10,17","-0,93","7,96","8,01","-0,54","7,61","4,14"
197010,"0,65","-2,06","-3,14","2,97","-3,54","-3,75","-1,63","0,31","-0,8","-5,89","-2,3"
197011,"4,8","6,84","3,93","4,89","4,08","6,11","6,84","2,97","9,39","3,74","4,62"
197012,"7,45","6,27","8,03","2,28","4,43","6,85","5,35","5,34","7,13","8,37","5,77"
197101,"4,92","3,76","6,02","0,39","5,44","9,75","8,26","4,92","2,95","7,79","4,74"
197102,"3,79","2,24","1,22","4,73","2,78","-5,3","3,68","1,31","-2,58","2,22","1,38"
197103,"4,47","3,48","4,23","2,71","8,08","0,73","6,75","3,68","2,39","5,94","4,04"
197104,"2,21","8,56","4,44","4,34","2,37","0,82","4,99","4,23","-3,54","4,34","3,23"
197105,"-3,05","-4,35","-2,21","-4,68","-6,11","-5,21","-1,9","-2,13","-3,69","-4,53","-3,99"
197106,"-0,12","-0,52","0,44","1,04","-2,17","1,05","0,44","2,05","4,29","-1,32","-0,09"
197107,"-2,13","-5,28","-5,03","-2,15","-8,6","-3,69","-3,56","-2,17","-2,15","-3,86","-4,46"
197108,"3,13","10,53","6,49","-1,16","5,7","-0,24","6,21","3,15","-2,33","6,98","3,79"
197109,"-0,05","-0,05","-0,24","-1,67","-1,56","0,27","0,68","0,66","-1,49","-0,42","-0,84"
197110,"-4,33","-5,06","-6,03","-4,3","-4,37","-1,83","-3,39","-2,47","2,04","-4,21","-4,4"
197111,"-0,38","0,17","-0,93","0,02","1,77","0,43","0,25","0,69","-1,22","-0,27","-0,48"
197112,"10,52","6,21","10,04","8,83","11,28","7,55","10,29","7,79","8,12","8,22","8,66"
197201,"2,51","3,38","3,36","0,16","8,42","1,01","0,26","2,63","-0,32","3,36","2,43"
197202,"4,64","0,57","4,86","2,61","1,88","0,24","5,59","7,12","-2,5","2,25","2,83"
197203,"0,09","4,29","2,52","-5,45","1,09","-0,33","2,03","0,46","-0,14","2,29","0,55"
197204,"1,9","-0,59","1,87","-0,66","0,74","-1,06","-0,6","1,1","-2,8","1,79","0,29"
197205,"0,4","-1,2","2,1","3,62","3,71","1,24","1,47","3,71","-0,17","-0,63","1,22"
197206,"-1,11","-2,92","-2,21","-0,98","-2,55","-2,64","-3,95","2,54","-1,56","-4,51","-2,41"
197207,"-1,61",-2,"0,45","-1,09","0,95","0,74","-2,47","3,1","0,05","-2,96","-0,78"
197208,"-0,1","3,75","2,21","12,41","2,86","5,18","-0,4","1,05","5,95","3,55","3,28"
197209,"-2,6","-0,92","-1,18","-0,21","-1,16","4,27","-0,56","-0,43","0,18","-1,74","-1,11"
197210,"0,02","-2,35","1,07","3,12","-3,3","2,27","0,9","1,5","6,77","1,12","0,53"
197211,"6,87","8,1","4,23","6,19","2,5","7,04","5,96","-0,53","6,39","5,12","4,6"
197212,"0,53","1,74","0,82","1,05","1,99","1,45","1,84","3,73","-1,54","-0,76","0,65"
197301,"-4,71","-6,69","-3,64","5,02","1,92","-2,12","-4,28","-1,18","-4,28","-7,47","-3,05"
197302,"-4,36","-6,03","-2,17","-7,36","-3,03","-4,64","-6,44","-0,71","-1,98","-6,09","-4,62"
197303,"-1,04","-2,85","-0,42","3,12","-1,23","0,53","-5,71","0,78","-2,16","-0,29","-1,04"
197304,"-6,29","-5,1","-4,56","-1,03","-6,7","0,86","-8,38","-5,48","-0,58","-7,79","-5,08"
197305,"-2,12","-4,3","-1,24","-3,45","-2,59","-0,84","-2,17","1,07","0,36","-5,03","-2,63"
197306,"-3,48","-2,61","-0,44","1,61","-0,09","-0,32","-5,74","0,02","-2,47","-0,28","-1,41"
197307,"7,53","7,2","6,57","0,34","4,98","-0,31","11,02","6,87","-2,39","9,56","5,05"
197308,"-3,32","-3,91","-1,62","-3,74","-3,68","-3,93","-4,23","-6,91","-2,09","-2,24","-3,8"
197309,"5,87","7,85","4,58","9,27","-2,8","7,67","7,44","0,79","7,9","7,2","4,74"
197310,"-2,34","-4,5","0,27","5,22","3,85","-5,54","-3,51","1,83","-3,38","-1,05","-0,8"
197311,"-14,31","-16,19","-14,49","-6,17","-11,46","-1,94","-18,72","-7,77","-11,61","-13,45","-12,77"
197312,"-1,62","-3,77","1,01","8,6","-4,32","4,54","-0,4","-4,48","3,41","2,47","0,56"
197401,"2,38","6,28","0,41","-7,52","1,25","2,01","6,81","-2,52","4,55","1,11","-0,15"
197402,0,"-0,99","-0,11","-1,48","-0,6","4,76","0,93","-1,23","0,27","1,03","-0,46"
197403,"-1,85","0,03","-0,89","-3,33","-2,76","-4,59","-3,32","1,21","-3,63","-3,64","-2,8"
